缴费年份,累计年费,重疾保险金,生存保证金,身故保险金,保单现金价值（退保金额）,4%收益理财,3%收益,2%收益,备注
25,"￥475,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥402,000.00","￥822,923.15","￥713,507.80","￥620,747.21",
26,"￥494,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥428,100.00","￥875,600.07","￥754,483.04","￥652,542.15",
27,"￥513,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥455,200.00","￥930,384.08","￥796,687.53","￥684,973.00",
28,"￥532,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥483,800.00","￥987,359.44","￥840,158.15","￥718,052.46",
29,"￥551,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥513,800.00","￥1,046,613.82","￥884,932.90","￥751,793.50",4%收益，第29年达到100w
30,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥545,400.00","￥1,108,238.37","￥931,050.89","￥786,209.37",缴费的终止，此时保险金高于3%收益理财
31,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥565,700.00","￥1,152,567.90","￥958,982.41","￥801,933.56",
32,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥586,800.00","￥1,198,670.62","￥987,751.88","￥817,972.23",
33,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥608,900.00","￥1,246,617.45","￥1,017,384.44","￥834,331.68",3%收益，第33年到100w
34,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥632,200.00","￥1,296,482.14","￥1,047,905.97","￥851,018.31",
35,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥656,900.00","￥1,348,341.43","￥1,079,343.15","￥868,038.68",
36,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥682,900.00","￥1,402,275.09","￥1,111,723.45","￥885,399.45",
37,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥710,400.00","￥1,458,366.09","￥1,145,075.15","￥903,107.44",
38,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥739,600.00","￥1,516,700.73","￥1,179,427.41","￥921,169.59",
39,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥770,800.00","￥1,577,368.76","￥1,214,810.23","￥939,592.98",
40,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥804,400.00","￥1,640,463.51","￥1,251,254.53","￥958,384.84",
41,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥840,900.00","￥1,706,082.05","￥1,288,792.17","￥977,552.54",
42,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥880,800.00","￥1,774,325.34","￥1,327,455.94","￥997,103.59",
43,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥925,000.00","￥1,845,298.35","￥1,367,279.61","￥1,017,045.66",2%收益第43年到达100w
44,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥974,500.00","￥1,919,110.28","￥1,408,298.00","￥1,037,386.57",
45,"￥570,000.00","￥1,028,100.00",￥0.00,"￥1,028,100.00","￥1,028,100.00","￥1,995,874.69","￥1,450,546.94","￥1,058,134.31",
46,"￥570,000.00","￥1,084,300.00",￥0.00,"￥1,084,300.00","￥1,084,300.00","￥2,075,709.68","￥1,494,063.35","￥1,079,296.99",
47,"￥570,000.00","￥1,142,900.00",￥0.00,"￥1,142,900.00","￥1,142,900.00","￥2,158,738.07","￥1,538,885.25","￥1,100,882.93",
48,"￥570,000.00","￥1,204,100.00",￥0.00,"￥1,204,100.00","￥1,204,100.00","￥2,245,087.59","￥1,585,051.81","￥1,122,900.59",
49,"￥570,000.00","￥1,267,900.00",￥0.00,"￥1,267,900.00","￥1,267,900.00","￥2,334,891.10","￥1,632,603.36","￥1,145,358.60",
50,"￥570,000.00","￥1,334,700.00","￥570,000.00","￥1,334,700.00","￥1,334,700.00","￥2,428,286.74","￥1,681,581.46","￥1,168,265.77",80岁返还生存保障金，此时保单现金价值133w，4%理财为243w，3%理财为168w，2%收益为117w。
51,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥777,600.00","￥2,525,418.21","￥1,732,028.91","￥1,191,631.09",
52,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥790,200.00","￥2,626,434.94","￥1,783,989.78","￥1,215,463.71",
53,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥802,200.00","￥2,731,492.34","￥1,837,509.47","￥1,239,772.98",
54,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥813,800.00","￥2,840,752.03","￥1,892,634.75","￥1,264,568.44",
55,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥824,900.00","￥2,954,382.11","￥1,949,413.80","￥1,289,859.81",
56,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥835,400.00","￥3,072,557.39","￥2,007,896.21","￥1,315,657.01",
57,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥845,300.00","￥3,195,459.69","￥2,068,133.10","￥1,341,970.15",
58,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥854,800.00","￥3,323,278.08","￥2,130,177.09","￥1,368,809.55",
59,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥863,900.00","￥3,456,209.20","￥2,194,082.40","￥1,396,185.74",
60,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥872,700.00","￥3,594,457.57","￥2,259,904.87","￥1,424,109.46",
61,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥881,100.00","￥3,738,235.87","￥2,327,702.02","￥1,452,591.65",
62,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥889,200.00","￥3,887,765.31","￥2,397,533.08","￥1,481,643.48",
63,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥897,000.00","￥4,043,275.92","￥2,469,459.07","￥1,511,276.35",
64,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥904,600.00","￥4,205,006.96","￥2,543,542.84","￥1,541,501.88",
65,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥911,800.00","￥4,373,207.23","￥2,619,849.13","￥1,572,331.92",
66,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥918,600.00","￥4,548,135.52","￥2,698,444.60","￥1,603,778.55",
67,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥924,900.00","￥4,730,060.94","￥2,779,397.94","￥1,635,854.12",
68,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥930,900.00","￥4,919,263.38","￥2,862,779.88","￥1,668,571.21",
69,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥936,500.00","￥5,116,033.92","￥2,948,663.28","￥1,701,942.63",
70,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥941,500.00","￥5,320,675.27","￥3,037,123.17","￥1,735,981.48",
71,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥946,300.00","￥5,533,502.29","￥3,128,236.87","￥1,770,701.11",
72,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥950,800.00","￥5,754,842.38","￥3,222,083.98","￥1,806,115.14",
73,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥955,400.00","￥5,985,036.07","￥3,318,746.49","￥1,842,237.44",
74,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥961,200.00","￥6,224,437.52","￥3,418,308.89","￥1,879,082.19",
75,"￥570,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥973,700.00","￥6,473,415.02","￥3,520,858.16","￥1,916,663.83",
